,0
0,tilichiki
1,paradwip
2,conceicao do araguaia
3,sorong
4,saint-pacome
5,macau
6,portales
7,opuwo
8,ecoporanga
9,muros
10,mataura
11,bonfim
12,naryan-mar
13,saint george
14,kytlym
15,adrar
16,letnyaya stavka
17,quatre cocos
18,kavieng
19,codrington
20,samusu
21,grand centre
22,novopokrovka
23,nakskov
24,umzimvubu
25,falealupo
26,kodiak
27,humble
28,biryusinsk
29,grindavik
30,bilma
31,agadez
32,los llanos de aridane
33,talaya
34,tautira
35,beloha
36,mikhaylovka
37,san andres
38,kamloops
39,kampot
40,harper
41,puerto madryn
42,lima
43,butaritari
44,becerril
45,broome
46,cruzeiro do sul
47,kijang
48,east london
49,quelimane
50,humberto de campos
51,nicoya
52,macomb
53,mundargi
54,saint-philippe
55,cukai
56,saint anthony
57,bolshoye soldatskoye
58,siaya
59,kulhudhuffushi
60,shaunavon
61,tazovskiy
62,san policarpo
63,kovylkino
64,smithers
65,westport
66,avera
67,port lincoln
68,save
69,husavik
70,hithadhoo
71,ust-kulom
72,albany
73,chiredzi
74,bonavista
75,karauzyak
76,punta arenas
77,navolato
78,odweyne
79,gogrial
80,masindi
81,malindi
82,khonuu
83,roebourne
84,bokspits
85,tawau
86,sainte-anne-des-monts
87,lorengau
88,kupang
89,busselton
90,vestmannaeyjar
91,zyryanka
92,longyearbyen
93,rawson
94,waingapu
95,belem de sao francisco
96,namibe
97,kikwit
98,saleaula
99,omsukchan
100,sharjah
101,shaowu
102,los andes
103,brigantine
104,kovdor
105,victoria
106,berettyoujfalu
107,faya
108,iquitos
109,kamenka
110,umm durman
111,shulan
112,necochea
113,pandan
114,nishihara
115,jambi
116,tuktoyaktuk
117,isangel
118,jardim
119,galesong
120,rocha
121,mastic beach
122,haapiti
123,halifax
124,aklavik
125,fairview
126,wattegama
127,djambala
128,victor harbor
129,krasnoselkup
130,kropotkin
131,tashla
132,caruray
133,barentsburg
134,thano bula khan
135,lulea
136,patan
137,wlingi
138,ponte nova
139,liku
140,mentok
141,petrovskaya
142,zandvoort
143,port blair
144,geraldton
145,galena park
146,kaitangata
147,cape town
148,attawapiskat
149,bluff
150,arraial do cabo
151,taolanaro
152,lovozero
153,vallenar
154,karaul
155,talnakh
156,illoqqortoormiut
157,havelock
158,blind river
159,dzhusaly
160,urengoy
161,laiyang
162,georgetown
163,khuzhir
164,la crosse
165,sistranda
166,sakakah
167,dawlatabad
168,ponta do sol
169,verkhnevilyuysk
170,kirakira
171,marzuq
172,mandiana
173,polson
174,potgietersrus
175,sinnamary
176,severo-kurilsk
177,pundaguitan
178,abnub
179,susanville
180,chapais
181,deputatskiy
182,vostok
183,nome
184,svetlaya
185,fez
186,kisanga
187,derzhavinsk
188,sisimiut
189,sigerfjord
190,nguiu
191,srednekolymsk
192,saint simons
193,alekseyevsk
194,angoche
195,yulara
196,araouane
197,magugu
198,mwinilunga
199,clyde river
200,toktogul
201,khatanga
202,mandaguacu
203,nikolskoye
204,hilo
205,bath
206,warqla
207,broken hill
208,roma
209,alamosa
210,zhob
211,russell
